game_date,matchup,environment_risk,environment_label,drivers,load_risk,behavior_risk,matchup_risk
2025-12-10,Phoenix Suns @ Oklahoma City Thunder,0.2,Clean,volatile teams,0.43,0.904,0.455
2025-12-10,San Antonio Spurs @ Los Angeles Lakers,0.269,Mixed,"fatigue load, volatile teams",0.822,0.92,0.578
2025-12-11,Boston Celtics @ Milwaukee Bucks,0.273,Mixed,"fatigue load, volatile teams",1.0,0.836,0.376
2025-12-11,Denver Nuggets @ Sacramento Kings,0.176,Clean,volatile teams,0.286,1.0,0.245
2025-12-11,LA Clippers @ Houston Rockets,0.279,Mixed,"fatigue load, volatile teams",1.0,0.955,0.26
2025-12-11,Portland Trail Blazers @ New Orleans Pelicans,0.247,Clean,"fatigue load, volatile teams",0.894,0.783,0.326
2025-12-12,Atlanta Hawks @ Detroit Pistons,0.291,Mixed,"fatigue load, volatile teams",1.0,0.995,0.37
2025-12-12,Brooklyn Nets @ Dallas Mavericks,0.267,Mixed,"fatigue load, volatile teams",1.0,0.856,0.259
2025-12-12,Chicago Bulls @ Charlotte Hornets,0.205,Clean,volatile teams,0.484,1.0,0.232
2025-12-12,Cleveland Cavaliers @ Washington Wizards,0.319,Mixed,"fatigue load, volatile teams, mismatch",1.0,1.0,0.778
2025-12-12,Indiana Pacers @ Philadelphia 76ers,0.284,Mixed,"fatigue load, volatile teams",0.894,0.997,0.505
2025-12-12,Minnesota Timberwolves @ Golden State Warriors,0.21,Clean,"fatigue load, volatile teams",0.744,0.648,0.341
2025-12-12,Utah Jazz @ Memphis Grizzlies,0.302,Mixed,"fatigue load, volatile teams, mismatch",0.966,1.0,0.6
2025-12-13,New York Knicks @ Orlando Magic,0.271,Mixed,"fatigue load, volatile teams",0.894,0.947,0.395
2025-12-13,San Antonio Spurs @ Oklahoma City Thunder,0.215,Clean,volatile teams,0.556,0.842,0.495
2025-12-14,Charlotte Hornets @ Cleveland Cavaliers,0.134,Clean,volatile teams,0.0,1.0,0.253
2025-12-14,Golden State Warriors @ Portland Trail Blazers,0.126,Clean,volatile teams,0.0,0.981,0.167
2025-12-14,Los Angeles Lakers @ Phoenix Suns,0.187,Clean,volatile teams,0.292,1.0,0.396
2025-12-14,Milwaukee Bucks @ Brooklyn Nets,0.104,Clean,volatile teams,0.0,0.842,0.083
2025-12-14,New Orleans Pelicans @ Chicago Bulls,0.159,Clean,volatile teams,0.168,0.949,0.347
2025-12-14,Philadelphia 76ers @ Atlanta Hawks,0.119,Clean,volatile teams,0.0,1.0,0.04
2025-12-14,Sacramento Kings @ Minnesota Timberwolves,0.139,Clean,volatile teams,0.0,1.0,0.329
2025-12-14,Washington Wizards @ Indiana Pacers,0.138,Clean,volatile teams,0.0,1.0,0.319
2025-12-15,Dallas Mavericks @ Utah Jazz,0.13,Clean,volatile teams,0.0,1.0,0.197
2025-12-15,Detroit Pistons @ Boston Celtics,0.163,Clean,volatile teams,0.092,1.0,0.493
2025-12-15,Houston Rockets @ Denver Nuggets,0.123,Clean,volatile teams,0.0,0.949,0.18
2025-12-15,Memphis Grizzlies @ LA Clippers,0.107,Clean,volatile teams,0.0,0.849,0.124
2025-12-15,Toronto Raptors @ Miami Heat,0.278,Mixed,"fatigue load, volatile teams",0.822,1.0,0.57
2025-12-16,San Antonio Spurs @ New York Knicks,0.08,Clean,volatile teams,0.0,0.648,0.068
2025-12-17,Cleveland Cavaliers @ Chicago Bulls,0.101,Clean,volatile teams,0.008,0.788,0.119
2025-12-17,Memphis Grizzlies @ Minnesota Timberwolves,0.102,Clean,volatile teams,0.08,0.616,0.277
2025-12-18,Atlanta Hawks @ Charlotte Hornets,0.124,Clean,volatile teams,0.008,1.0,0.097
2025-12-18,Detroit Pistons @ Dallas Mavericks,0.107,Clean,volatile teams,0.0,0.837,0.145
2025-12-18,Golden State Warriors @ Phoenix Suns,0.138,Clean,volatile teams,0.0,1.0,0.327
2025-12-18,Houston Rockets @ New Orleans Pelicans,0.122,Clean,volatile teams,0.0,0.935,0.192
2025-12-18,LA Clippers @ Oklahoma City Thunder,0.115,Clean,volatile teams,0.0,0.953,0.056
2025-12-18,Los Angeles Lakers @ Utah Jazz,0.129,Clean,volatile teams,0.0,1.0,0.178
2025-12-18,Miami Heat @ Brooklyn Nets,0.147,Clean,volatile teams,0.0,1.0,0.452
2025-12-18,New York Knicks @ Indiana Pacers,0.134,Clean,volatile teams,0.0,1.0,0.254
2025-12-18,Orlando Magic @ Denver Nuggets,0.116,Clean,volatile teams,0.0,0.945,0.085
2025-12-18,Sacramento Kings @ Portland Trail Blazers,0.12,Clean,volatile teams,0.0,0.973,0.09
2025-12-18,Toronto Raptors @ Milwaukee Bucks,0.136,Clean,volatile teams,0.0,1.0,0.294
2025-12-18,Washington Wizards @ San Antonio Spurs,0.143,Clean,volatile teams,0.0,1.0,0.402
2025-12-19,Chicago Bulls @ Cleveland Cavaliers,0.116,Clean,volatile teams,0.0,0.914,0.135
2025-12-19,Miami Heat @ Boston Celtics,0.126,Clean,volatile teams,0.0,1.0,0.147
2025-12-19,Oklahoma City Thunder @ Minnesota Timberwolves,0.131,Clean,volatile teams,0.0,0.911,0.367
2025-12-19,Philadelphia 76ers @ New York Knicks,0.13,Clean,volatile teams,0.008,0.965,0.235
2025-12-19,San Antonio Spurs @ Atlanta Hawks,0.145,Clean,volatile teams,0.0,1.0,0.426
2025-12-20,Boston Celtics @ Toronto Raptors,0.142,Clean,volatile teams,0.0,1.0,0.373
2025-12-20,Charlotte Hornets @ Detroit Pistons,0.135,Clean,volatile teams,0.0,1.0,0.279
2025-12-20,Dallas Mavericks @ Philadelphia 76ers,0.131,Clean,volatile teams,0.0,1.0,0.216
2025-12-20,Houston Rockets @ Denver Nuggets,0.123,Clean,volatile teams,0.0,0.967,0.15
2025-12-20,Indiana Pacers @ New Orleans Pelicans,0.136,Clean,volatile teams,0.0,1.0,0.291
2025-12-20,Los Angeles Lakers @ LA Clippers,0.111,Clean,volatile teams,0.0,0.907,0.074
2025-12-20,Orlando Magic @ Utah Jazz,0.126,Clean,volatile teams,0.0,1.0,0.137
2025-12-20,Phoenix Suns @ Golden State Warriors,0.14,Clean,volatile teams,0.0,1.0,0.346
2025-12-20,Portland Trail Blazers @ Sacramento Kings,0.113,Clean,volatile teams,0.0,0.915,0.088
2025-12-20,Washington Wizards @ Memphis Grizzlies,0.142,Clean,volatile teams,0.0,1.0,0.38
2025-12-21,Chicago Bulls @ Atlanta Hawks,0.178,Clean,volatile teams,0.404,0.937,0.116
2025-12-21,Houston Rockets @ Sacramento Kings,0.124,Clean,volatile teams,0.0,0.982,0.14
