game_id,game_date,team_id,team_name,opponent_id,opponent_name,home_away,actual_margin,current_city,previous_city,games_last_7,games_last_14,density_score,days_since_last_game,travel_miles,travel_load,fatigue_index,fatigue_tier,expected_margin,pve,base_form_diff,win_diff,home_away_adj,fatigue_adj,expected_raw,expected_total,momentum_unit,rpmi_short,rpmi_long,rpmi_accel,rpmi_delta,pve_volatility,consistency,consistency_win,consistency_loss,games_played,games_in_window,avg_pve_window,wins_window,losses_window,win_rate_window,season_win_rate,season_avg_pve,season_consistency,archetype
22500082,2025-10-22 00:00:00+00:00,1610612737,Atlanta Hawks,1610612761,Toronto Raptors,H,-20,Atlanta,,0,0,10.0,5,,0,5.0,Low,4.17,-24.17,0.0,0.0,4.5,-0.15,4.35,4.17,-1.9842162758515716,,,,,,,,,1.0,,,,,,0.4642857142857143,0.6714285714285714,0.512468085106383,Unstable Middle
22500090,2025-10-24 00:00:00+00:00,1610612737,Atlanta Hawks,1610612753,Orlando Magic,A,4,Orlando,Atlanta,1,1,10.0,2,402.1,2,16.2,Low,-11.93,15.93,-24.0,-6.0,-4.5,-0.49,-34.99,-11.93,1.920608040098597,,,,,,,,,2.0,,,,,,0.4642857142857143,0.6714285714285714,0.512468085106383,Unstable Middle
22500101,2025-10-25 00:00:00+00:00,1610612737,Atlanta Hawks,1610612760,Oklahoma City Thunder,H,-17,Atlanta,Orlando,2,2,10.0,1,402.1,2,32.0,Elevated,-8.67,-8.33,-11.5,-3.0,4.5,-0.96,-10.96,-8.67,-1.6820835767654954,,,,,,,,,3.0,,,,,,0.4642857142857143,0.6714285714285714,0.512468085106383,Unstable Middle
22500115,2025-10-27 00:00:00+00:00,1610612737,Atlanta Hawks,1610612741,Chicago Bulls,A,-5,Chicago,Atlanta,3,3,29.5,2,589.0,2,33.8,Elevated,-11.79,6.79,-19.0,-4.0,-4.5,-1.01,-28.51,-11.79,0.0270309424664401,,,,0.3,,,,,4.0,,,,,,0.4642857142857143,0.6714285714285714,0.512468085106383,Unstable Middle
22500130,2025-10-29 00:00:00+00:00,1610612737,Atlanta Hawks,1610612751,Brooklyn Nets,A,5,Brooklyn,Chicago,4,4,52.2,2,715.3,2,54.2,High,2.1,2.9,6.75,1.5,-4.5,-1.63,2.12,2.1,1.282134812669634,,,,0.6,,,,,5.0,,,,,,0.4642857142857143,0.6714285714285714,0.512468085106383,Unstable Middle
22500020,2025-10-31 00:00:00+00:00,1610612737,Atlanta Hawks,1610612754,Indiana Pacers,A,20,Indianapolis,Brooklyn,4,5,61.0,2,645.2,2,62.1,High,-1.31,21.31,2.65,2.4,-4.5,-1.86,-1.31,-1.31,1.972203592890896,,,,1.05,,,,,6.0,,,,,,0.4642857142857143,0.6714285714285714,0.512468085106383,Unstable Middle
22500151,2025-11-02 00:00:00+00:00,1610612737,Atlanta Hawks,1610612739,Cleveland Cavaliers,A,-8,Cleveland,Indianapolis,3,6,45.2,2,263.0,1,44.3,Elevated,-6.3,-1.7,-1.17,0.0,-4.5,-1.33,-7.0,-6.3,-1.1683810458708146,,,,-1.13,,,,,7.0,,,,,,0.4642857142857143,0.6714285714285714,0.512468085106383,Unstable Middle
22500166,2025-11-04 00:00:00+00:00,1610612737,Atlanta Hawks,1610612753,Orlando Magic,H,15,Atlanta,Cleveland,3,7,52.2,2,554.8,2,54.2,High,-0.7,15.7,-3.57,0.0,4.5,-1.63,-0.7,-0.7,1.917025761396608,,,,0.61,,,,,8.0,,,,,,0.4642857142857143,0.6714285714285714,0.512468085106383,Unstable Middle
22500030,2025-11-07 00:00:00+00:00,1610612737,Atlanta Hawks,1610612761,Toronto Raptors,H,-12,Atlanta,Atlanta,3,7,52.2,3,0.0,1,43.8,Elevated,-0.06,-11.94,-3.25,0.0,4.5,-1.31,-0.06,-0.06,-1.8318153090712204,,,,-1.37,,,,,9.0,,,,,,0.4642857142857143,0.6714285714285714,0.512468085106383,Unstable Middle
22500185,2025-11-08 00:00:00+00:00,1610612737,Atlanta Hawks,1610612747,Los Angeles Lakers,H,20,Atlanta,Atlanta,3,7,52.2,1,0.0,1,64.2,High,-4.24,24.24,-5.0,-2.0,4.5,-1.93,-4.43,-4.24,1.9844340005346184,,,,1.17,14.93,0.501,0.672,0.592,10.0,10.0,4.07,5.0,5.0,0.5,0.4642857142857143,0.6714285714285714,0.512468085106383,Unstable Middle
