game_id,game_date,team_id,team_name,opponent_id,opponent_name,home_away,actual_margin,current_city,previous_city,games_last_7,games_last_14,density_score,days_since_last_game,travel_miles,travel_load,fatigue_index,fatigue_tier,expected_margin,pve,base_form_diff,win_diff,home_away_adj,fatigue_adj,expected_raw,expected_total
18447343,2026-01-29 00:00:00+00:00,5,Chicago Bulls,16,Miami Heat,H,-3,Chicago,Indianapolis,3,3,29.5,1,166.4,1,41.5,Elevated,-9.44,1.5,-14.0,-2.0,4.5,-1.24,-12.74,-9.44
18447343,2026-01-29 00:00:00+00:00,16,Miami Heat,5,Chicago Bulls,A,3,Chicago,Miami,3,3,29.5,1,1191.3,3,55.5,High,8.1,-5.1,14.0,2.0,-4.5,-1.67,9.84,8.1
18447461,2026-01-24 00:00:00+00:00,20,New York Knicks,23,Philadelphia 76ers,A,3,Philadelphia,,0,0,10.0,5,,0,5.0,Low,-4.43,7.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447461,2026-01-24 00:00:00+00:00,23,Philadelphia 76ers,20,New York Knicks,H,-3,Philadelphia,,0,0,10.0,5,,0,5.0,Low,4.17,-7.17,0.0,0.0,4.5,-0.15,4.35,4.17
18447462,2026-01-25 00:00:00+00:00,10,Golden State Warriors,18,Minnesota Timberwolves,A,26,Minneapolis,,0,0,10.0,5,,0,5.0,Low,-4.43,30.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447462,2026-01-25 00:00:00+00:00,18,Minnesota Timberwolves,10,Golden State Warriors,H,-26,Minneapolis,,0,0,10.0,5,,0,5.0,Low,4.17,-7.54,0.0,0.0,4.5,-0.15,4.35,4.17
18447463,2026-01-24 00:00:00+00:00,4,Charlotte Hornets,30,Washington Wizards,H,4,Charlotte,,0,0,10.0,5,,0,5.0,Low,4.17,-0.17,0.0,0.0,4.5,-0.15,4.35,4.17
18447463,2026-01-24 00:00:00+00:00,30,Washington Wizards,4,Charlotte Hornets,A,-4,Charlotte,,0,0,10.0,5,,0,5.0,Low,-4.43,0.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447464,2026-01-24 00:00:00+00:00,6,Cleveland Cavaliers,22,Orlando Magic,A,14,Orlando,,0,0,10.0,5,,0,5.0,Low,-4.43,18.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447464,2026-01-24 00:00:00+00:00,22,Orlando Magic,6,Cleveland Cavaliers,H,-14,Orlando,,0,0,10.0,5,,0,5.0,Low,4.17,-18.17,0.0,0.0,4.5,-0.15,4.35,4.17
18447465,2026-01-24 00:00:00+00:00,2,Boston Celtics,5,Chicago Bulls,A,-3,Chicago,,0,0,10.0,5,,0,5.0,Low,-4.43,1.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447465,2026-01-24 00:00:00+00:00,5,Chicago Bulls,2,Boston Celtics,H,3,Chicago,,0,0,10.0,5,,0,5.0,Low,4.17,-1.17,0.0,0.0,4.5,-0.15,4.35,4.17
18447466,2026-01-24 00:00:00+00:00,7,Dallas Mavericks,14,Los Angeles Lakers,H,-6,Dallas,,0,0,10.0,5,,0,5.0,Low,4.17,-10.17,0.0,0.0,4.5,-0.15,4.35,4.17
18447466,2026-01-24 00:00:00+00:00,14,Los Angeles Lakers,7,Dallas Mavericks,A,6,Dallas,,0,0,10.0,5,,0,5.0,Low,-4.43,10.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447467,2026-01-24 00:00:00+00:00,16,Miami Heat,29,Utah Jazz,A,31,Salt Lake City,,0,0,10.0,5,,0,5.0,Low,-4.43,35.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447467,2026-01-24 00:00:00+00:00,29,Utah Jazz,16,Miami Heat,H,-31,Salt Lake City,,0,0,10.0,5,,0,5.0,Low,4.17,-8.79,0.0,0.0,4.5,-0.15,4.35,4.17
18447468,2026-01-25 00:00:00+00:00,9,Detroit Pistons,26,Sacramento Kings,H,23,Detroit,,0,0,10.0,5,,0,5.0,Low,4.17,18.83,0.0,0.0,4.5,-0.15,4.35,4.17
18447468,2026-01-25 00:00:00+00:00,26,Sacramento Kings,9,Detroit Pistons,A,-23,Detroit,,0,0,10.0,5,,0,5.0,Low,-4.43,-4.64,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447471,2026-01-25 00:00:00+00:00,21,Oklahoma City Thunder,28,Toronto Raptors,H,-2,Oklahoma City,,0,0,10.0,5,,0,5.0,Low,4.17,-6.17,0.0,0.0,4.5,-0.15,4.35,4.17
18447471,2026-01-25 00:00:00+00:00,28,Toronto Raptors,21,Oklahoma City Thunder,A,2,Oklahoma City,,0,0,10.0,5,,0,5.0,Low,-4.43,6.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447472,2026-01-25 00:00:00+00:00,19,New Orleans Pelicans,27,San Antonio Spurs,A,9,San Antonio,,0,0,10.0,5,,0,5.0,Low,-4.43,13.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447472,2026-01-25 00:00:00+00:00,27,San Antonio Spurs,19,New Orleans Pelicans,H,-9,San Antonio,,0,0,10.0,5,,0,5.0,Low,4.17,-13.17,0.0,0.0,4.5,-0.15,4.35,4.17
18447473,2026-01-25 00:00:00+00:00,16,Miami Heat,24,Phoenix Suns,A,9,Phoenix,Salt Lake City,1,1,10.0,1,506.0,2,32.0,Elevated,11.8,-2.8,31.0,3.0,-4.5,-0.96,28.54,11.8
18447473,2026-01-25 00:00:00+00:00,24,Phoenix Suns,16,Miami Heat,H,-9,Phoenix,,0,0,10.0,5,,0,5.0,Low,-11.83,2.83,-31.0,-3.0,4.5,-0.15,-29.65,-11.83
18447474,2026-01-25 00:00:00+00:00,3,Brooklyn Nets,13,LA Clippers,A,-37,Los Angeles,,0,0,10.0,5,,0,5.0,Low,-4.43,-8.14,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447474,2026-01-25 00:00:00+00:00,13,LA Clippers,3,Brooklyn Nets,H,37,Los Angeles,,0,0,10.0,5,,0,5.0,Low,4.17,32.83,0.0,0.0,4.5,-0.15,4.35,4.17
18447475,2026-01-26 00:00:00+00:00,4,Charlotte Hornets,23,Philadelphia 76ers,H,37,Charlotte,Charlotte,1,1,10.0,2,0.0,1,12.6,Low,10.69,26.31,7.0,6.0,4.5,-0.38,17.12,10.69
18447475,2026-01-26 00:00:00+00:00,23,Philadelphia 76ers,4,Charlotte Hornets,A,-37,Charlotte,Philadelphia,1,1,10.0,2,447.8,2,16.2,Low,-10.86,-1.96,-7.0,-6.0,-4.5,-0.49,-17.99,-10.86
18447476,2026-01-26 00:00:00+00:00,6,Cleveland Cavaliers,22,Orlando Magic,H,16,Cleveland,Orlando,1,1,10.0,2,895.4,3,19.8,Low,11.96,4.04,28.0,6.0,4.5,-0.59,37.91,11.96
18447476,2026-01-26 00:00:00+00:00,22,Orlando Magic,6,Cleveland Cavaliers,A,-16,Cleveland,Orlando,1,1,10.0,2,895.4,3,19.8,Low,-11.96,-0.3,-28.0,-6.0,-4.5,-0.59,-39.09,-11.96
18447477,2026-01-26 00:00:00+00:00,1,Atlanta Hawks,12,Indiana Pacers,H,16,Atlanta,,0,0,10.0,5,,0,5.0,Low,4.17,11.83,0.0,0.0,4.5,-0.15,4.35,4.17
18447477,2026-01-26 00:00:00+00:00,12,Indiana Pacers,1,Atlanta Hawks,A,-16,Atlanta,,0,0,10.0,5,,0,5.0,Low,-4.43,-2.89,0.0,0.0,-4.5,-0.15,-4.65,-4.43
18447478,2026-01-26 00:00:00+00:00,2,Boston Celtics,25,Portland Trail Blazers,H,8,Boston,Chicago,1,1,10.0,2,850.6,3,19.8,Low,-2.07,10.07,-3.0,-3.0,4.5,-0.59,-2.09,-2.07
18447478,2026-01-26 00:00:00+00:00,25,Portland Trail Blazers,2,Boston Celtics,A,-8,Boston,,0,0,10.0,5,,0,5.0,Low,1.34,-9.34,3.0,3.0,-4.5,-0.15,1.35,1.34
18447479,2026-01-26 00:00:00+00:00,5,Chicago Bulls,14,Los Angeles Lakers,H,-11,Chicago,Chicago,1,1,10.0,2,0.0,1,12.6,Low,1.12,-12.12,-3.0,0.0,4.5,-0.38,1.12,1.12
18447479,2026-01-26 00:00:00+00:00,14,Los Angeles Lakers,5,Chicago Bulls,A,11,Chicago,Dallas,1,1,10.0,2,803.0,3,19.8,Low,-2.07,13.07,3.0,0.0,-4.5,-0.59,-2.09,-2.07
18447480,2026-01-26 00:00:00+00:00,11,Houston Rockets,15,Memphis Grizzlies,H,9,Houston,,0,0,10.0,5,,0,5.0,Low,4.17,4.83,0.0,0.0,4.5,-0.15,4.35,4.17
18447480,2026-01-26 00:00:00+00:00,15,Memphis Grizzlies,11,Houston Rockets,A,-9,Houston,Memphis,1,1,10.0,1,484.1,2,32.0,Elevated,-5.11,-1.17,0.0,0.0,-4.5,-0.96,-5.46,-5.11
18447481,2026-01-26 00:00:00+00:00,10,Golden State Warriors,18,Minnesota Timberwolves,A,-25,Minneapolis,Minneapolis,1,1,10.0,1,0.0,1,22.0,Low,12.0,-9.25,52.0,6.0,-4.5,-0.66,52.84,12.0
18447481,2026-01-26 00:00:00+00:00,18,Minnesota Timberwolves,10,Golden State Warriors,H,25,Minneapolis,Minneapolis,1,1,10.0,1,0.0,1,22.0,Low,-12.0,37.0,-52.0,-6.0,4.5,-0.66,-54.16,-12.0
18447482,2026-01-27 00:00:00+00:00,25,Portland Trail Blazers,30,Washington Wizards,A,-4,Washington,Boston,1,1,10.0,1,393.6,2,32.0,Elevated,-7.89,1.17,-4.0,0.0,-4.5,-0.96,-9.46,-7.89
18447482,2026-01-27 00:00:00+00:00,30,Washington Wizards,25,Portland Trail Blazers,H,4,Washington,Charlotte,1,1,10.0,3,329.7,2,14.0,Low,7.05,-3.05,4.0,0.0,4.5,-0.42,8.08,7.05
18447483,2026-01-27 00:00:00+00:00,20,New York Knicks,26,Sacramento Kings,H,16,New York,Philadelphia,1,1,10.0,3,85.4,1,10.9,Low,11.94,4.06,26.0,6.0,4.5,-0.33,36.17,11.94
18447483,2026-01-27 00:00:00+00:00,26,Sacramento Kings,20,New York Knicks,A,-16,New York,Detroit,1,1,10.0,2,481.1,2,16.2,Low,-11.95,-0.3,-26.0,-6.0,-4.5,-0.49,-36.99,-11.95
18447484,2026-01-27 00:00:00+00:00,17,Milwaukee Bucks,23,Philadelphia 76ers,A,-17,Philadelphia,Milwaukee,1,1,10.0,2,693.8,2,16.2,Low,10.86,-2.09,20.0,3.0,-4.5,-0.49,18.01,10.86
18447484,2026-01-27 00:00:00+00:00,23,Philadelphia 76ers,17,Milwaukee Bucks,H,17,Philadelphia,Charlotte,2,2,10.0,1,447.8,2,32.0,Elevated,-11.1,28.1,-20.0,-3.0,4.5,-0.96,-19.46,-11.1
18447485,2026-01-27 00:00:00+00:00,19,New Orleans Pelicans,21,Oklahoma City Thunder,A,-9,Oklahoma City,San Antonio,1,1,10.0,2,420.5,2,16.2,Low,9.15,-18.15,11.0,6.0,-4.5,-0.49,12.01,9.15
18447485,2026-01-27 00:00:00+00:00,21,Oklahoma City Thunder,19,New Orleans Pelicans,H,9,Oklahoma City,Oklahoma City,1,1,10.0,2,0.0,1,12.6,Low,-9.49,18.49,-11.0,-6.0,4.5,-0.38,-12.88,-9.49
18447486,2026-01-27 00:00:00+00:00,8,Denver Nuggets,9,Detroit Pistons,H,-2,Denver,Memphis,1,1,10.0,2,878.8,3,19.8,Low,-11.41,1.5,-23.0,-3.0,4.5,-0.59,-22.09,-11.41
18447486,2026-01-27 00:00:00+00:00,9,Detroit Pistons,8,Denver Nuggets,A,2,Denver,Detroit,1,1,10.0,2,1154.6,3,19.8,Low,11.29,-9.29,23.0,3.0,-4.5,-0.59,20.91,11.29
18447487,2026-01-27 00:00:00+00:00,3,Brooklyn Nets,24,Phoenix Suns,A,-4,Phoenix,Los Angeles,1,1,10.0,2,358.3,2,16.2,Low,-11.9,1.5,-28.0,0.0,-4.5,-0.49,-32.99,-11.9
18447487,2026-01-27 00:00:00+00:00,24,Phoenix Suns,3,Brooklyn Nets,H,4,Phoenix,Phoenix,1,1,10.0,2,0.0,1,12.6,Low,11.89,-7.89,28.0,0.0,4.5,-0.38,32.12,11.89
18447488,2026-01-27 00:00:00+00:00,13,LA Clippers,29,Utah Jazz,A,12,Salt Lake City,Los Angeles,1,1,10.0,2,581.0,2,16.2,Low,12.0,0.0,68.0,6.0,-4.5,-0.49,69.01,12.0
18447488,2026-01-27 00:00:00+00:00,29,Utah Jazz,13,LA Clippers,H,-12,Salt Lake City,Salt Lake City,1,1,10.0,3,0.0,1,10.9,Low,-12.0,0.0,-68.0,-6.0,4.5,-0.33,-69.83,-12.0
18447489,2026-01-28 00:00:00+00:00,6,Cleveland Cavaliers,14,Los Angeles Lakers,H,30,Cleveland,Cleveland,2,2,10.0,2,0.0,1,12.6,Low,8.51,21.49,6.5,0.0,4.5,-0.38,10.62,8.51
18447489,2026-01-28 00:00:00+00:00,14,Los Angeles Lakers,6,Cleveland Cavaliers,A,-30,Cleveland,Chicago,2,2,10.0,2,309.9,2,16.2,Low,-8.92,-5.27,-6.5,0.0,-4.5,-0.49,-11.49,-8.92
18447490,2026-01-28 00:00:00+00:00,5,Chicago Bulls,12,Indiana Pacers,A,-3,Indianapolis,Chicago,2,2,10.0,2,166.4,1,12.6,Low,8.25,-11.25,12.0,3.0,-4.5,-0.38,10.12,8.25
18447490,2026-01-28 00:00:00+00:00,12,Indiana Pacers,5,Chicago Bulls,H,3,Indianapolis,Atlanta,1,1,10.0,2,426.3,2,16.2,Low,-8.69,11.69,-12.0,-3.0,4.5,-0.49,-10.99,-8.69
18447491,2026-01-28 00:00:00+00:00,1,Atlanta Hawks,2,Boston Celtics,A,11,Boston,Atlanta,1,1,10.0,2,936.1,3,19.8,Low,8.88,2.12,13.5,3.0,-4.5,-0.59,11.41,8.88
18447491,2026-01-28 00:00:00+00:00,2,Boston Celtics,1,Atlanta Hawks,H,-11,Boston,Boston,2,2,10.0,2,0.0,1,12.6,Low,-9.29,-1.71,-13.5,-3.0,4.5,-0.38,-12.38,-9.29
18447492,2026-01-28 00:00:00+00:00,16,Miami Heat,22,Orlando Magic,H,-9,Miami,Phoenix,2,2,10.0,3,1978.4,3,17.2,Low,11.99,-20.99,35.0,6.0,4.5,-0.52,44.98,11.99
18447492,2026-01-28 00:00:00+00:00,22,Orlando Magic,16,Miami Heat,A,9,Miami,Cleveland,2,2,10.0,2,1089.2,3,19.8,Low,-11.99,20.99,-35.0,-6.0,-4.5,-0.59,-46.09,-11.99
18447493,2026-01-28 00:00:00+00:00,20,New York Knicks,28,Toronto Raptors,A,27,Toronto,New York,2,2,10.0,1,340.4,2,32.0,Elevated,2.02,24.98,7.5,0.0,-4.5,-0.96,2.04,2.02
18447493,2026-01-28 00:00:00+00:00,28,Toronto Raptors,20,New York Knicks,H,-27,Toronto,Oklahoma City,1,1,10.0,3,1115.8,3,17.2,Low,-3.42,-5.89,-7.5,0.0,4.5,-0.52,-3.52,-3.42
18447494,2026-01-28 00:00:00+00:00,4,Charlotte Hornets,15,Memphis Grizzlies,A,15,Memphis,Charlotte,2,2,10.0,2,520.0,2,16.2,Low,11.85,3.15,29.5,6.0,-4.5,-0.49,30.51,11.85
18447494,2026-01-28 00:00:00+00:00,15,Memphis Grizzlies,4,Charlotte Hornets,H,-15,Memphis,Houston,2,2,10.0,2,484.1,2,16.2,Low,-11.87,-0.23,-29.5,-6.0,4.5,-0.49,-31.49,-11.87
18447495,2026-01-28 00:00:00+00:00,7,Dallas Mavericks,18,Minnesota Timberwolves,H,-13,Dallas,Milwaukee,2,2,10.0,3,857.3,3,17.2,Low,-4.31,-2.61,-5.5,-3.0,4.5,-0.52,-4.52,-4.31
18447495,2026-01-28 00:00:00+00:00,18,Minnesota Timberwolves,7,Dallas Mavericks,A,13,Dallas,Minneapolis,2,2,10.0,2,863.1,3,19.8,Low,3.32,9.68,5.5,3.0,-4.5,-0.59,3.41,3.32
18447496,2026-01-28 00:00:00+00:00,10,Golden State Warriors,29,Utah Jazz,A,16,Salt Lake City,Minneapolis,2,2,10.0,2,984.4,3,19.8,Low,11.16,4.84,22.0,3.0,-4.5,-0.59,19.91,11.16
18447496,2026-01-28 00:00:00+00:00,29,Utah Jazz,10,Golden State Warriors,H,-16,Salt Lake City,Salt Lake City,2,2,10.0,1,0.0,1,22.0,Low,-11.31,-0.35,-22.0,-3.0,4.5,-0.66,-21.16,-11.31
18447497,2026-01-28 00:00:00+00:00,11,Houston Rockets,27,San Antonio Spurs,H,-12,Houston,Houston,1,1,10.0,2,0.0,1,12.6,Low,11.78,-23.78,18.0,6.0,4.5,-0.38,28.12,11.78
18447497,2026-01-28 00:00:00+00:00,27,San Antonio Spurs,11,Houston Rockets,A,12,Houston,San Antonio,1,1,10.0,3,186.1,1,10.9,Low,-11.8,23.8,-18.0,-6.0,-4.5,-0.33,-28.83,-11.8
18447498,2026-01-29 00:00:00+00:00,23,Philadelphia 76ers,26,Sacramento Kings,H,2,Philadelphia,Philadelphia,3,3,29.5,2,0.0,1,30.2,Elevated,10.75,-8.75,11.83,2.0,4.5,-0.91,17.43,10.75
18447498,2026-01-29 00:00:00+00:00,26,Sacramento Kings,23,Philadelphia 76ers,A,-2,Philadelphia,New York,2,2,10.0,2,85.4,1,12.6,Low,-10.98,1.5,-11.83,-2.0,-4.5,-0.38,-18.71,-10.98
18447499,2026-01-29 00:00:00+00:00,17,Milwaukee Bucks,30,Washington Wizards,A,-10,Washington,Philadelphia,2,2,10.0,2,120.6,1,12.6,Low,-11.63,0.49,-17.0,-3.0,-4.5,-0.38,-24.88,-11.63
18447499,2026-01-29 00:00:00+00:00,30,Washington Wizards,17,Milwaukee Bucks,H,10,Washington,Washington,2,2,10.0,2,0.0,1,12.6,Low,11.58,-1.58,17.0,3.0,4.5,-0.38,24.12,11.58
18447500,2026-01-29 00:00:00+00:00,1,Atlanta Hawks,11,Houston Rockets,H,-18,Atlanta,Boston,2,2,10.0,1,936.1,3,36.0,Elevated,11.34,-7.33,15.0,3.0,4.5,-1.08,21.42,11.34
18447500,2026-01-29 00:00:00+00:00,11,Houston Rockets,1,Atlanta Hawks,A,18,Atlanta,Houston,2,2,10.0,1,700.7,2,32.0,Elevated,-11.53,29.53,-15.0,-3.0,-4.5,-0.96,-23.46,-11.53
18447501,2026-01-29 00:00:00+00:00,4,Charlotte Hornets,7,Dallas Mavericks,A,2,Dallas,Memphis,3,3,29.5,1,419.8,2,51.5,High,11.78,-9.78,28.17,6.0,-4.5,-1.54,28.12,11.78
18447501,2026-01-29 00:00:00+00:00,7,Dallas Mavericks,4,Charlotte Hornets,H,-2,Dallas,Dallas,3,3,29.5,1,0.0,1,41.5,Elevated,-11.86,1.5,-28.17,-6.0,4.5,-1.24,-30.91,-11.86
18447502,2026-01-29 00:00:00+00:00,3,Brooklyn Nets,8,Denver Nuggets,A,-4,Denver,Phoenix,2,2,10.0,2,585.4,2,16.2,Low,-11.53,1.5,-18.5,0.0,-4.5,-0.49,-23.49,-11.53
18447502,2026-01-29 00:00:00+00:00,8,Denver Nuggets,3,Brooklyn Nets,H,4,Denver,Denver,2,2,10.0,2,0.0,1,12.6,Low,11.46,-7.46,18.5,0.0,4.5,-0.38,22.62,11.46
18447503,2026-01-29 00:00:00+00:00,9,Detroit Pistons,24,Phoenix Suns,A,-18,Phoenix,Denver,2,2,10.0,2,585.4,2,16.2,Low,9.54,-6.88,15.0,3.0,-4.5,-0.49,13.01,9.54
18447503,2026-01-29 00:00:00+00:00,24,Phoenix Suns,9,Detroit Pistons,H,18,Phoenix,Phoenix,2,2,10.0,2,0.0,1,12.6,Low,-9.84,27.84,-15.0,-3.0,4.5,-0.38,-13.88,-9.84
18447504,2026-01-29 00:00:00+00:00,18,Minnesota Timberwolves,21,Oklahoma City Thunder,H,12,Minneapolis,Dallas,3,3,29.5,1,863.1,3,55.5,High,4.16,7.84,0.5,1.0,4.5,-1.67,4.34,4.16
18447504,2026-01-29 00:00:00+00:00,21,Oklahoma City Thunder,18,Minnesota Timberwolves,A,-12,Minneapolis,Oklahoma City,2,2,10.0,2,694.2,2,16.2,Low,-5.92,-6.08,-0.5,-1.0,-4.5,-0.49,-6.49,-5.92
18447505,2026-01-30 00:00:00+00:00,22,Orlando Magic,28,Toronto Raptors,H,10,Orlando,Miami,3,3,29.5,2,204.3,1,30.2,Elevated,7.06,2.94,5.5,-1.0,4.5,-0.91,8.09,7.06
18447505,2026-01-30 00:00:00+00:00,28,Toronto Raptors,22,Orlando Magic,A,-10,Orlando,Toronto,2,2,10.0,2,1049.5,3,19.8,Low,-7.97,-2.03,-5.5,1.0,-4.5,-0.59,-9.59,-7.97
18447506,2026-01-30 00:00:00+00:00,14,Los Angeles Lakers,30,Washington Wizards,A,31,Washington,Cleveland,3,3,29.5,2,304.7,2,33.8,Elevated,-9.6,40.6,-7.67,0.0,-4.5,-1.01,-13.18,-9.6
