game_id,game_date,team_id,team_name,opponent_id,opponent_name,home_away,actual_margin,current_city,previous_city,games_last_7,games_last_14,density_score,days_since_last_game,travel_miles,travel_load,fatigue_index,fatigue_tier,expected_margin,pve,base_form_diff,win_diff,home_away_adj,fatigue_adj,expected_raw,expected_total,momentum_unit,rpmi_short,rpmi_long,rpmi_accel,rpmi_delta
18447477,2026-01-26 00:00:00+00:00,1,Atlanta Hawks,12,Indiana Pacers,H,16,Atlanta,,0,0,10.0,5,,0,5.0,Low,4.17,11.83,0.0,0.0,4.5,-0.15,4.35,4.17,1.8283952372564316,,,,
18447491,2026-01-28 00:00:00+00:00,1,Atlanta Hawks,2,Boston Celtics,A,11,Boston,Atlanta,1,1,10.0,2,936.1,3,19.8,Low,8.88,2.12,13.5,3.0,-4.5,-0.59,11.41,8.88,1.2088800348387252,,,,
18447500,2026-01-29 00:00:00+00:00,1,Atlanta Hawks,11,Houston Rockets,H,-18,Atlanta,Boston,2,2,10.0,1,936.1,3,36.0,Elevated,11.34,-29.34,15.0,3.0,4.5,-1.08,21.42,11.34,-1.9943589065120446,,,,
18447516,2026-01-31 00:00:00+00:00,1,Atlanta Hawks,12,Indiana Pacers,A,-5,Indianapolis,Atlanta,3,3,29.5,2,426.3,2,33.8,Elevated,4.72,-9.72,9.5,1.0,-4.5,-1.01,4.99,4.72,-1.7495818555019202,,,,-1.05
18447538,2026-02-03 00:00:00+00:00,1,Atlanta Hawks,16,Miami Heat,A,12,Miami,Indianapolis,3,4,29.5,3,1025.8,3,32.4,Elevated,-10.7,22.7,-10.67,-1.0,-4.5,-0.97,-17.14,-10.7,1.9788786239267537,,,,1.41
18447553,2026-02-05 00:00:00+00:00,1,Atlanta Hawks,29,Utah Jazz,H,2,Atlanta,Miami,3,5,38.2,2,606.0,2,41.6,Elevated,11.2,-9.2,14.37,2.6,4.5,-1.25,20.22,11.2,0.27410258515091934,,,,0.44
18447569,2026-02-07 00:00:00+00:00,1,Atlanta Hawks,4,Charlotte Hornets,H,-7,Atlanta,Atlanta,3,6,45.2,2,0.0,1,44.3,Elevated,-6.49,-0.51,-8.43,-2.0,4.5,-1.33,-7.26,-6.49,-1.050955828954986,,,,-0.61
18447465,2026-01-24 00:00:00+00:00,2,Boston Celtics,5,Chicago Bulls,A,-3,Chicago,,0,0,10.0,5,,0,5.0,Low,-4.43,1.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43,-0.22862159331820858,,,,
18447478,2026-01-26 00:00:00+00:00,2,Boston Celtics,25,Portland Trail Blazers,H,8,Boston,Chicago,1,1,10.0,2,850.6,3,19.8,Low,-2.07,10.07,-3.0,-3.0,4.5,-0.59,-2.09,-2.07,1.764518339298942,,,,
18447491,2026-01-28 00:00:00+00:00,2,Boston Celtics,1,Atlanta Hawks,H,-11,Boston,Boston,2,2,10.0,2,0.0,1,12.6,Low,-9.29,-1.71,-13.5,-3.0,4.5,-0.38,-12.38,-9.29,-1.1693525297908998,,,,
