game_id,game_date,team_id,team_name,opponent_id,opponent_name,home_away,actual_margin,current_city,previous_city,games_last_7,games_last_14,density_score,days_since_last_game,travel_miles,travel_load,fatigue_index,fatigue_tier,expected_margin,pve,base_form_diff,win_diff,home_away_adj,fatigue_adj,expected_raw,expected_total,momentum_unit,rpmi_short,rpmi_long,rpmi_accel,rpmi_delta,pve_volatility,consistency,consistency_win,consistency_loss,games_played,games_in_window,avg_pve_window,wins_window,losses_window,win_rate_window
18447477,2026-01-26 00:00:00+00:00,1,Atlanta Hawks,12,Indiana Pacers,H,16,Atlanta,,0,0,10.0,5,,0,5.0,Low,4.17,11.83,0.0,0.0,4.5,-0.15,4.35,4.17,1.8283952372564316,,,,,,,,,1.0,,,,,
18447491,2026-01-28 00:00:00+00:00,1,Atlanta Hawks,2,Boston Celtics,A,11,Boston,Atlanta,1,1,10.0,2,936.1,3,19.8,Low,8.88,2.12,13.5,3.0,-4.5,-0.59,11.41,8.88,1.2088800348387252,,,,,,,,,2.0,,,,,
18447500,2026-01-29 00:00:00+00:00,1,Atlanta Hawks,11,Houston Rockets,H,-18,Atlanta,Boston,2,2,10.0,1,936.1,3,36.0,Elevated,11.34,-7.33,15.0,3.0,4.5,-1.08,21.42,11.34,-1.624897288533966,,,,,,,,,3.0,,,,,
18447516,2026-01-31 00:00:00+00:00,1,Atlanta Hawks,12,Indiana Pacers,A,-5,Indianapolis,Atlanta,3,3,29.5,2,426.3,2,33.8,Elevated,4.72,-9.72,9.5,1.0,-4.5,-1.01,4.99,4.72,-1.7495818555019202,,,,-1.11,,,,,4.0,,,,,
18447538,2026-02-03 00:00:00+00:00,1,Atlanta Hawks,16,Miami Heat,A,12,Miami,Indianapolis,3,4,29.5,3,1025.8,3,32.4,Elevated,-7.61,19.61,-3.5,0.0,-4.5,-0.97,-8.97,-7.61,1.9611660639084092,,,,1.34,,,,,5.0,,,,,
18447553,2026-02-05 00:00:00+00:00,1,Atlanta Hawks,29,Utah Jazz,H,2,Atlanta,Miami,3,5,38.2,2,606.0,2,41.6,Elevated,11.04,-9.04,13.2,2.6,4.5,-1.25,19.05,11.04,0.2817600351871515,,,,0.37,,,,,6.0,,,,,
18447465,2026-01-24 00:00:00+00:00,2,Boston Celtics,5,Chicago Bulls,A,-3,Chicago,,0,0,10.0,5,,0,5.0,Low,-4.43,1.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43,-0.2286215933182085,,,,,,,,,1.0,,,,,
18447478,2026-01-26 00:00:00+00:00,2,Boston Celtics,25,Portland Trail Blazers,H,8,Boston,Chicago,1,1,10.0,2,850.6,3,19.8,Low,-2.07,10.07,-3.0,-3.0,4.5,-0.59,-2.09,-2.07,1.764518339298942,,,,,,,,,2.0,,,,,
18447491,2026-01-28 00:00:00+00:00,2,Boston Celtics,1,Atlanta Hawks,H,-11,Boston,Boston,2,2,10.0,2,0.0,1,12.6,Low,-9.29,-1.71,-13.5,-3.0,4.5,-0.38,-12.38,-9.29,-1.1693525297908998,,,,,,,,,3.0,,,,,
18447507,2026-01-30 00:00:00+00:00,2,Boston Celtics,26,Sacramento Kings,H,19,Boston,Boston,3,3,29.5,2,0.0,1,30.2,Elevated,10.72,8.28,11.67,2.0,4.5,-0.91,17.26,10.72,1.6794006392135288,,,,0.77,,,,,4.0,,,,,
18447539,2026-02-03 00:00:00+00:00,2,Boston Celtics,7,Dallas Mavericks,A,10,Dallas,Boston,3,5,38.2,2,1549.3,3,45.2,Elevated,3.99,6.01,7.6,2.4,-4.5,-1.36,4.14,3.99,1.53776076257628,,,,0.39,,,,,5.0,,,,,
18447546,2026-02-04 00:00:00+00:00,2,Boston Celtics,11,Houston Rockets,A,21,Houston,Dallas,4,6,68.0,1,226.8,1,80.0,Critical,-7.89,28.89,-0.77,-1.8,-4.5,-2.4,-9.47,-7.89,1.993829299653251,,,,0.66,,,,,6.0,,,,,
18447559,2026-02-06 00:00:00+00:00,2,Boston Celtics,16,Miami Heat,H,2,Boston,Houston,4,7,75.0,2,1604.1,3,78.3,Critical,6.41,-4.41,4.14,0.86,4.5,-2.35,7.15,6.41,0.5855270025408855,,,,-0.58,,,,,7.0,,,,,
18447474,2026-01-25 00:00:00+00:00,3,Brooklyn Nets,13,LA Clippers,A,-37,Los Angeles,,0,0,10.0,5,,0,5.0,Low,-4.43,-8.14,0.0,0.0,-4.5,-0.15,-4.65,-4.43,-1.6717909491774952,,,,,,,,,1.0,,,,,
18447487,2026-01-27 00:00:00+00:00,3,Brooklyn Nets,24,Phoenix Suns,A,-4,Phoenix,Los Angeles,1,1,10.0,2,358.3,2,16.2,Low,-11.9,1.5,-28.0,0.0,-4.5,-0.49,-32.99,-11.9,-0.2251403093125009,,,,,,,,,2.0,,,,,
18447502,2026-01-29 00:00:00+00:00,3,Brooklyn Nets,8,Denver Nuggets,A,-4,Denver,Phoenix,2,2,10.0,2,585.4,2,16.2,Low,-11.6,1.5,-19.5,0.0,-4.5,-0.49,-24.49,-11.6,-0.2251403093125009,,,,,,,,,3.0,,,,,
18447512,2026-01-30 00:00:00+00:00,3,Brooklyn Nets,29,Utah Jazz,A,10,Salt Lake City,Denver,3,3,29.5,1,370.1,2,51.5,High,-1.37,11.37,4.67,0.0,-4.5,-1.54,-1.38,-1.37,1.81340143357785,,,,1.26,,,,,4.0,,,,,
18447537,2026-02-03 00:00:00+00:00,3,Brooklyn Nets,14,Los Angeles Lakers,H,-16,Brooklyn,Detroit,4,5,61.0,2,483.3,2,62.1,High,-8.38,-0.57,-10.6,-2.4,4.5,-1.86,-10.36,-8.38,-1.056938349120244,,,,-0.75,,,,,5.0,,,,,
18447552,2026-02-05 00:00:00+00:00,3,Brooklyn Nets,22,Orlando Magic,A,-20,Orlando,Brooklyn,4,6,68.0,2,938.0,3,72.0,Critical,-7.21,-0.96,-0.67,-1.0,-4.5,-2.16,-8.33,-7.21,-1.095706171123255,,,,-0.64,,,,,6.0,,,,,
18447463,2026-01-24 00:00:00+00:00,4,Charlotte Hornets,30,Washington Wizards,H,4,Charlotte,,0,0,10.0,5,,0,5.0,Low,4.17,-0.17,0.0,0.0,4.5,-0.15,4.35,4.17,0.9830016374773746,0.95,0.9,0.0499999999999999,,,,,,1.0,,,,,
18447475,2026-01-26 00:00:00+00:00,4,Charlotte Hornets,23,Philadelphia 76ers,H,37,Charlotte,Charlotte,1,1,10.0,2,0.0,1,12.6,Low,10.69,26.31,7.0,6.0,4.5,-0.38,17.12,10.69,1.9896836405588376,,,,,,,,,2.0,,,,,
18447494,2026-01-28 00:00:00+00:00,4,Charlotte Hornets,15,Memphis Grizzlies,A,15,Memphis,Charlotte,2,2,10.0,2,520.0,2,16.2,Low,11.69,3.31,25.0,6.0,-4.5,-0.49,26.01,11.69,1.3194190350041644,,,,,,,,,3.0,,,,,
18447501,2026-01-29 00:00:00+00:00,4,Charlotte Hornets,7,Dallas Mavericks,A,2,Dallas,Memphis,3,3,29.5,1,419.8,2,51.5,High,11.63,-9.63,25.0,6.0,-4.5,-1.54,24.96,11.63,0.2543879620193586,,,,-0.59,,,,,4.0,,,,,
18447515,2026-01-31 00:00:00+00:00,4,Charlotte Hornets,27,San Antonio Spurs,H,5,Charlotte,Dallas,4,4,52.2,2,929.0,3,57.8,High,10.99,-5.99,13.0,3.0,4.5,-1.73,18.77,10.99,0.4636623928849789,,,,-0.36,,,,,5.0,,,,,
18447530,2026-02-02 00:00:00+00:00,4,Charlotte Hornets,19,New Orleans Pelicans,H,7,Charlotte,Charlotte,4,5,61.0,2,0.0,1,58.5,High,11.01,-4.01,13.1,3.0,4.5,-1.75,18.85,11.01,0.6191957242192849,,,,-0.03,,,,,6.0,,,,,
18447555,2026-02-05 00:00:00+00:00,4,Charlotte Hornets,11,Houston Rockets,A,10,Houston,Charlotte,3,6,45.2,3,925.8,3,44.6,Elevated,6.65,3.35,11.33,2.0,-4.5,-1.34,7.5,6.65,1.3230063184059049,,,,0.44,,,,,7.0,,,,,
18447465,2026-01-24 00:00:00+00:00,5,Chicago Bulls,2,Boston Celtics,H,3,Chicago,,0,0,10.0,5,,0,5.0,Low,4.17,-1.17,0.0,0.0,4.5,-0.15,4.35,4.17,0.8835309638437792,,,,,,,,,1.0,,,,,
18447479,2026-01-26 00:00:00+00:00,5,Chicago Bulls,14,Los Angeles Lakers,H,-11,Chicago,Chicago,1,1,10.0,2,0.0,1,12.6,Low,1.12,-12.12,-3.0,0.0,4.5,-0.38,1.12,1.12,-1.837278420915382,,,,,,,,,2.0,,,,,
18447490,2026-01-28 00:00:00+00:00,5,Chicago Bulls,12,Indiana Pacers,A,-3,Indianapolis,Chicago,2,2,10.0,2,166.4,1,12.6,Low,8.25,-11.25,12.0,3.0,-4.5,-0.38,10.12,8.25,-1.8093010702017809,,,,,,,,,3.0,,,,,
18447343,2026-01-29 00:00:00+00:00,5,Chicago Bulls,16,Miami Heat,H,-3,Chicago,Indianapolis,3,3,29.5,1,166.4,1,41.5,Elevated,-9.44,1.5,-14.0,-2.0,4.5,-1.24,-12.74,-9.44,-0.2251403093125009,,,,0.35,,,,,4.0,,,,,
18447510,2026-01-31 00:00:00+00:00,5,Chicago Bulls,16,Miami Heat,A,7,Miami,Chicago,4,4,52.2,2,1191.3,3,57.8,High,-11.32,18.32,-12.0,-3.0,-4.5,-1.73,-21.23,-11.32,1.9500213653021952,,,,1.62,,,,,5.0,,,,,
18447540,2026-02-03 00:00:00+00:00,5,Chicago Bulls,17,Milwaukee Bucks,A,-16,Milwaukee,Miami,4,6,68.0,2,1270.2,3,72.0,Critical,0.92,-1.27,5.58,2.0,-4.5,-2.16,0.92,0.92,-1.12632158221095,,,,-0.55,,,,,6.0,,,,,
18447554,2026-02-05 00:00:00+00:00,5,Chicago Bulls,28,Toronto Raptors,A,-16,Toronto,Milwaukee,4,7,75.0,2,430.8,2,74.7,Critical,-2.09,-1.04,4.11,0.51,-4.5,-2.24,-2.11,-2.09,-1.1036266604663405,,,,-0.65,,,,,7.0,,,,,
18447464,2026-01-24 00:00:00+00:00,6,Cleveland Cavaliers,22,Orlando Magic,A,14,Orlando,,0,0,10.0,5,,0,5.0,Low,-4.43,18.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43,1.9510822890694075,,,,,,,,,1.0,,,,,
18447476,2026-01-26 00:00:00+00:00,6,Cleveland Cavaliers,22,Orlando Magic,H,16,Cleveland,Orlando,1,1,10.0,2,895.4,3,19.8,Low,11.96,4.04,28.0,6.0,4.5,-0.59,37.91,11.96,1.3833663055096457,,,,,,,,,2.0,,,,,
18447489,2026-01-28 00:00:00+00:00,6,Cleveland Cavaliers,14,Los Angeles Lakers,H,30,Cleveland,Cleveland,2,2,10.0,2,0.0,1,12.6,Low,8.51,21.49,6.5,0.0,4.5,-0.38,10.62,8.51,1.9731732820628425,,,,,,,,,3.0,,,,,
18447511,2026-01-30 00:00:00+00:00,6,Cleveland Cavaliers,24,Phoenix Suns,A,-13,Phoenix,Cleveland,3,3,29.5,2,1745.9,3,37.4,Elevated,9.16,-22.16,15.67,2.0,-4.5,-1.12,12.04,9.16,-1.9764980848453133,,,,-1.87,,,,,4.0,,,,,
18447550,2026-02-04 00:00:00+00:00,6,Cleveland Cavaliers,13,LA Clippers,A,33,Los Angeles,Portland,3,5,38.2,3,827.1,3,39.2,Elevated,0.72,32.28,5.2,1.2,-4.5,-1.18,0.72,0.72,1.996862793905692,,,,0.77,,,,,5.0,,,,,
18447466,2026-01-24 00:00:00+00:00,7,Dallas Mavericks,14,Los Angeles Lakers,H,-6,Dallas,,0,0,10.0,5,,0,5.0,Low,4.17,-10.17,0.0,0.0,4.5,-0.15,4.35,4.17,-1.7686417943698818,,,,,,,,,1.0,,,,,
18447495,2026-01-28 00:00:00+00:00,7,Dallas Mavericks,18,Minnesota Timberwolves,H,-13,Dallas,Milwaukee,2,2,10.0,3,857.3,3,17.2,Low,-1.51,-3.45,-2.5,-3.0,4.5,-0.52,-1.52,-1.51,-1.3319338535036405,,,,,,,,,2.0,,,,,
18447501,2026-01-29 00:00:00+00:00,7,Dallas Mavericks,4,Charlotte Hornets,H,-2,Dallas,Dallas,3,3,29.5,1,0.0,1,41.5,Elevated,-11.77,1.5,-25.0,-6.0,4.5,-1.24,-27.74,-11.77,-0.2251403093125009,,,,,,,,,3.0,,,,,
18447519,2026-01-31 00:00:00+00:00,7,Dallas Mavericks,11,Houston Rockets,A,-4,Houston,Dallas,4,4,52.2,2,226.8,1,50.6,High,-11.21,1.5,-10.25,-4.0,-4.5,-1.52,-20.27,-11.21,-0.2251403093125009,,,,0.44,,,,,4.0,,,,,
18447539,2026-02-03 00:00:00+00:00,7,Dallas Mavericks,2,Boston Celtics,H,-10,Dallas,Houston,3,5,38.2,3,226.8,1,32.9,Elevated,-5.92,-1.22,-7.6,-2.4,4.5,-0.99,-6.49,-5.92,-1.121398299364506,,,,-0.26,,,,,5.0,,,,,
18447556,2026-02-05 00:00:00+00:00,7,Dallas Mavericks,27,San Antonio Spurs,H,-12,Dallas,Dallas,3,6,45.2,2,0.0,1,44.3,Elevated,-6.05,-1.78,-7.43,-2.4,4.5,-1.33,-6.66,-6.05,-1.1761436063129964,,,,-0.33,,,,,6.0,,,,,
18447486,2026-01-27 00:00:00+00:00,8,Denver Nuggets,9,Detroit Pistons,H,-2,Denver,Memphis,1,1,10.0,2,878.8,3,19.8,Low,-11.64,1.5,-23.0,-6.0,4.5,-0.59,-25.09,-11.64,-0.2251403093125009,,,,,,,,,1.0,,,,,
18447502,2026-01-29 00:00:00+00:00,8,Denver Nuggets,3,Brooklyn Nets,H,4,Denver,Denver,2,2,10.0,2,0.0,1,12.6,Low,11.54,-7.54,19.5,0.0,4.5,-0.38,23.62,11.54,0.3624707644119429,,,,,,,,,2.0,,,,,
18447513,2026-01-30 00:00:00+00:00,8,Denver Nuggets,13,LA Clippers,H,13,Denver,Denver,3,3,29.5,1,0.0,1,41.5,Elevated,-11.61,24.61,-23.83,-4.0,4.5,-1.24,-24.58,-11.61,1.9855362673952075,,,,,,,,,3.0,,,,,
18447534,2026-02-03 00:00:00+00:00,8,Denver Nuggets,9,Detroit Pistons,A,-3,Detroit,Denver,4,5,61.0,2,1154.6,3,65.7,High,-6.64,3.64,0.2,-1.2,-4.5,-1.97,-7.47,-6.64,-0.1199832495422399,,,,-0.42,,,,,4.0,,,,,
18447544,2026-02-04 00:00:00+00:00,8,Denver Nuggets,20,New York Knicks,A,-7,New York,Detroit,4,6,68.0,1,481.1,2,90.0,Critical,-11.69,1.41,-15.83,-3.0,-4.5,-2.7,-26.03,-11.69,-0.2296165691293976,,,,-0.48,,,,,5.0,,,,,
18447468,2026-01-25 00:00:00+00:00,9,Detroit Pistons,26,Sacramento Kings,H,23,Detroit,,0,0,10.0,5,,0,5.0,Low,4.17,18.83,0.0,0.0,4.5,-0.15,4.35,4.17,1.9547581848043103,,,,,,,,,1.0,,,,,
18447486,2026-01-27 00:00:00+00:00,9,Detroit Pistons,8,Denver Nuggets,A,2,Denver,Detroit,1,1,10.0,2,1154.6,3,19.8,Low,11.56,-9.56,23.0,6.0,-4.5,-0.59,23.91,11.56,0.2575126584836364,,,,,,,,,2.0,,,,,
18447503,2026-01-29 00:00:00+00:00,9,Detroit Pistons,24,Phoenix Suns,A,-18,Phoenix,Denver,2,2,10.0,2,585.4,2,16.2,Low,9.54,-6.88,15.0,3.0,-4.5,-0.49,13.01,9.54,-1.5966956287055878,,,,,,,,,3.0,,,,,
18447514,2026-01-30 00:00:00+00:00,9,Detroit Pistons,10,Golden State Warriors,A,7,San Francisco,Phoenix,3,3,29.5,1,651.4,2,51.5,High,-7.84,14.84,-3.33,0.0,-4.5,-1.54,-9.38,-7.84,1.9022147131212968,,,,0.85,,,,,4.0,,,,,
18447534,2026-02-03 00:00:00+00:00,9,Detroit Pistons,8,Denver Nuggets,H,3,Detroit,Detroit,4,5,61.0,2,0.0,1,58.5,High,3.63,-0.63,-0.2,1.2,4.5,-1.75,3.74,3.63,0.9370832168873662,,,,0.38,,,,,5.0,,,,,
18447551,2026-02-05 00:00:00+00:00,9,Detroit Pistons,30,Washington Wizards,H,-9,Detroit,Detroit,4,6,68.0,2,0.0,1,64.8,High,10.45,-19.45,11.5,2.0,4.5,-1.94,16.06,10.45,-1.9599285819327408,,,,-1.19,,,,,6.0,,,,,
18447560,2026-02-06 00:00:00+00:00,9,Detroit Pistons,20,New York Knicks,H,38,Detroit,Detroit,4,7,75.0,1,0.0,1,87.0,Critical,-10.17,48.17,-15.14,-1.71,4.5,-2.61,-14.97,-10.17,1.9998690792372096,,,,0.85,,,,,7.0,,,,,
18447462,2026-01-25 00:00:00+00:00,10,Golden State Warriors,18,Minnesota Timberwolves,A,26,Minneapolis,,0,0,10.0,5,,0,5.0,Low,-4.43,30.43,0.0,0.0,-4.5,-0.15,-4.65,-4.43,1.9954613457219923,-1.15,,,,,,,,1.0,,,,,
18447481,2026-01-26 00:00:00+00:00,10,Golden State Warriors,18,Minnesota Timberwolves,A,-25,Minneapolis,Minneapolis,1,1,10.0,1,0.0,1,22.0,Low,12.0,-9.25,52.0,6.0,-4.5,-0.66,52.84,12.0,-1.7282542059818111,,,,,,,,,2.0,,,,,
